,Unnamed: 0,date,DayName,IsWorkDay,Hour,IsWorkHour,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
9,9,2015-02-02,Monday,1,14,1,23.736,26.39,1,809.0,0.00479618871038935,1
18,18,2015-02-02,Monday,1,14,1,23.64,26.976,1,897.6,0.0048750447811301,1
55,55,2015-02-02,Monday,1,15,1,23.39,28.2,1,1078.6,0.0050211721163507285,1
73,73,2015-02-02,Monday,1,15,1,23.29,28.6,1,1116.0,0.0050620722953919105,1
84,84,2015-02-02,Monday,1,15,1,23.2,28.718000000000004,1,1140.0,0.0050553392694394,1
103,103,2015-02-02,Monday,1,16,1,23.0,27.926666666666694,1,1058.33333333333,0.00485537781204804,1
122,122,2015-02-02,Monday,1,16,1,22.84,27.373333333333306,1,1028.66666666667,0.00471219953995305,1
126,126,2015-02-02,Monday,1,16,1,22.79,27.0666666666667,1,1006.33333333333,0.00464480804480218,1
129,129,2015-02-02,Monday,1,16,1,22.76,26.823333333333306,1,983.333333333333,0.00459431462064815,1
131,131,2015-02-02,Monday,1,16,1,22.7225,26.7,1,980.75,0.00456256926364279,1
132,132,2015-02-02,Monday,1,16,1,22.7,26.6833333333333,1,971.333333333333,0.0045534351851525285,1
159,159,2015-02-02,Monday,1,16,1,22.6,25.15,1,859.0,0.00426383489458762,1
176,176,2015-02-02,Monday,1,17,1,22.6,24.9175,1,818.0,0.00422415004171152,1
195,195,2015-02-02,Monday,1,17,1,22.6,25.0666666666667,1,849.333333333333,0.00424961035468154,0
196,196,2015-02-02,Monday,1,17,1,22.6,25.2,1,853.0,0.0042723699287058,0
197,197,2015-02-02,Monday,1,17,1,22.6,25.2,1,853.0,0.0042723699287058,0
198,198,2015-02-02,Monday,1,17,1,22.54,25.16,1,852.0,0.0042499210749079,0
199,199,2015-02-02,Monday,1,17,1,22.54,25.16,1,853.6,0.0042499210749079,0
200,200,2015-02-02,Monday,1,17,1,22.54,25.14,1,845.6,0.0042465196948245,0
201,201,2015-02-02,Monday,1,17,1,22.525,25.1,1,834.25,0.00423582915169482,0
202,202,2015-02-02,Monday,1,17,1,22.5,25.04,1,826.4,0.00421917771792251,0
203,203,2015-02-02,Monday,1,17,1,22.5,25.0,1,819.6,0.004212392172552679,0
204,204,2015-02-02,Monday,1,17,1,22.5,25.0,1,829.6,0.004212392172552679,0
205,205,2015-02-02,Monday,1,17,1,22.5,25.0,1,824.0,0.004212392172552679,0
206,206,2015-02-02,Monday,1,17,1,22.5,24.912,1,814.2,0.0041974644903524,0
207,207,2015-02-02,Monday,1,17,1,22.5,24.89,1,813.5,0.0041937326810038,0
208,208,2015-02-02,Monday,1,17,1,22.5,24.89,1,813.8,0.0041937326810038,0
209,209,2015-02-02,Monday,1,17,1,22.5,24.89,1,811.0,0.0041937326810038,0
210,210,2015-02-02,Monday,1,17,1,22.478,24.87,1,804.6,0.00418470411108146,0
211,211,2015-02-02,Monday,1,17,1,22.456,24.83,1,807.8,0.004172308180643121,0
212,212,2015-02-02,Monday,1,17,1,22.5,24.856666666666694,1,802.333333333333,0.00418807850916583,0
213,213,2015-02-02,Monday,1,17,1,22.4175,24.7475,1,796.75,0.00414856636550583,0
214,214,2015-02-02,Monday,1,17,1,22.456,24.81,1,794.4,0.00416892495641864,0
215,215,2015-02-02,Monday,1,17,1,22.39,24.7,1,790.6,0.00413358648459168,0
216,216,2015-02-02,Monday,1,17,1,22.4175,24.7225,1,789.75,0.0041443475474366,0
217,217,2015-02-02,Monday,1,17,1,22.39,24.7,1,782.2,0.00413358648459168,0
222,222,2015-02-02,Monday,1,18,2,22.39,24.754,1,771.8,0.00414268366402263,1
226,226,2015-02-02,Monday,1,18,2,22.39,25.0,0,805.5,0.0041841297156888,0
227,227,2015-02-02,Monday,1,18,2,22.35,24.978,0,791.4,0.00417019632275524,0
228,228,2015-02-02,Monday,1,18,2,22.323333333333306,25.0,0,779.333333333333,0.00416708241580403,0
229,229,2015-02-02,Monday,1,18,2,22.365,24.9725,0,780.75,0.00417310345378263,0
230,230,2015-02-02,Monday,1,18,2,22.315,24.89,0,781.75,0.004146507840838179,0
231,231,2015-02-02,Monday,1,18,2,22.29,24.9175,0,781.0,0.00414476697940617,0
232,232,2015-02-02,Monday,1,18,2,22.29,24.912,0,778.4,0.00414384601663705,0
233,233,2015-02-02,Monday,1,18,2,22.26,24.856666666666694,0,769.333333333333,0.00412698756337495,0
234,234,2015-02-02,Monday,1,18,2,22.254,24.85,0,766.5,0.0041243566010876,0
235,235,2015-02-02,Monday,1,18,2,22.23,24.7933333333333,0,763.25,0.00410884135392114,0
236,236,2015-02-02,Monday,1,18,2,22.26,24.823333333333306,0,762.333333333333,0.004121416511640589,0
237,237,2015-02-02,Monday,1,18,2,22.2,24.79,0,761.5,0.00410073726963565,0
