,Unnamed: 0,date,DayName,IsWorkDay,Hour,IsWorkHour,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
8,8,2015-02-04,Wednesday,1,17,1,23.1,27.2,1.0,689.333333333333,0.004756992933315179,1
11,11,2015-02-04,Wednesday,1,18,2,23.1,27.1,1.0,691.0,0.00473937073052061,1
16,16,2015-02-04,Wednesday,1,18,2,23.0,27.2,0.0,681.5,0.0047280779496687705,0
17,17,2015-02-04,Wednesday,1,18,2,22.945,27.29,0.0,685.0,0.00472795137178073,0
18,18,2015-02-04,Wednesday,1,18,2,22.945,27.39,0.0,685.0,0.0047454083970941,0
19,19,2015-02-04,Wednesday,1,18,2,22.89,27.39,0.0,689.0,0.00472950615591001,0
20,20,2015-02-04,Wednesday,1,18,2,22.89,27.39,0.0,689.5,0.00472950615591001,0
21,21,2015-02-04,Wednesday,1,18,2,22.89,27.39,0.0,689.0,0.00472950615591001,0
22,22,2015-02-04,Wednesday,1,18,2,22.89,27.445,0.0,691.0,0.00473907551474663,0
23,23,2015-02-04,Wednesday,1,18,2,22.89,27.5,0.0,688.0,0.00474864516581148,0
24,24,2015-02-04,Wednesday,1,18,2,22.89,27.5,0.0,689.5,0.00474864516581148,0
25,25,2015-02-04,Wednesday,1,18,2,22.79,27.445,0.0,689.0,0.00471022404680625,0
26,26,2015-02-04,Wednesday,1,18,2,22.79,27.5,0.0,685.666666666667,0.004719734999149521,0
27,27,2015-02-04,Wednesday,1,18,2,22.79,27.5,0.0,687.0,0.004719734999149521,0
28,28,2015-02-04,Wednesday,1,18,2,22.79,27.5,0.0,688.0,0.004719734999149521,0
29,29,2015-02-04,Wednesday,1,18,2,22.745,27.5,0.0,670.0,0.0047067761580489,0
30,30,2015-02-04,Wednesday,1,18,2,22.7,27.463333333333306,0.0,668.666666666667,0.00468754308384392,0
31,31,2015-02-04,Wednesday,1,18,2,22.7,27.5,0.0,670.0,0.00469384871410812,0
32,32,2015-02-04,Wednesday,1,18,2,22.7,27.5,0.0,667.0,0.00469384871410812,0
33,33,2015-02-04,Wednesday,1,18,2,22.6666666666667,27.426666666666694,0.0,664.5,0.004671707764617511,0
34,34,2015-02-04,Wednesday,1,18,2,22.7,27.6,0.0,670.0,0.00471104653252311,0
35,35,2015-02-04,Wednesday,1,18,2,22.6,27.426666666666694,0.0,670.333333333333,0.00465269945869772,0
36,36,2015-02-04,Wednesday,1,18,2,22.6,27.39,0.0,672.0,0.0046464328065348,0
37,37,2015-02-04,Wednesday,1,18,2,22.6,27.356666666666694,0.0,658.0,0.00464073595878431,0
38,38,2015-02-04,Wednesday,1,18,2,22.6,27.445,0.0,660.5,0.00465583283178072,0
39,39,2015-02-04,Wednesday,1,18,2,22.6,27.426666666666694,0.0,658.0,0.00465269945869772,0
