,date,DayName,IsWorkDay,Hour,IsWorkHour,Temperature,Humidity,Light,CO2,Occupancy
0,2015-02-04,Wednesday,1,17,1,23.18,27.272,1.0,721.25,1
1,2015-02-04,Wednesday,1,17,1,23.15,27.2675,1.0,714.0,1
2,2015-02-04,Wednesday,1,17,1,23.15,27.245,1.0,713.5,1
3,2015-02-04,Wednesday,1,17,1,23.15,27.2,1.0,708.25,1
4,2015-02-04,Wednesday,1,17,1,23.1,27.2,1.0,704.5,1
5,2015-02-04,Wednesday,1,17,1,23.1,27.2,1.0,701.0,1
6,2015-02-04,Wednesday,1,17,1,23.1,27.2,1.0,701.666666666667,1
7,2015-02-04,Wednesday,1,17,1,23.1,27.2,1.0,699.0,1
8,2015-02-04,Wednesday,1,17,1,23.1,27.2,1.0,689.333333333333,1
9,2015-02-04,Wednesday,1,18,2,23.075,27.175,1.0,688.0,1
10,2015-02-04,Wednesday,1,18,2,23.075,27.15,1.0,690.25,1
11,2015-02-04,Wednesday,1,18,2,23.1,27.1,1.0,691.0,1
12,2015-02-04,Wednesday,1,18,2,23.1,27.1666666666667,1.0,683.5,1
13,2015-02-04,Wednesday,1,18,2,23.05,27.15,1.0,687.5,1
14,2015-02-04,Wednesday,1,18,2,23.0,27.125,1.0,686.0,1
15,2015-02-04,Wednesday,1,18,2,23.0,27.125,1.0,680.5,1
16,2015-02-04,Wednesday,1,18,2,23.0,27.2,0.0,681.5,0
17,2015-02-04,Wednesday,1,18,2,22.945,27.29,0.0,685.0,0
18,2015-02-04,Wednesday,1,18,2,22.945,27.39,0.0,685.0,0
19,2015-02-04,Wednesday,1,18,2,22.89,27.39,0.0,689.0,0
20,2015-02-04,Wednesday,1,18,2,22.89,27.39,0.0,689.5,0
21,2015-02-04,Wednesday,1,18,2,22.89,27.39,0.0,689.0,0
22,2015-02-04,Wednesday,1,18,2,22.89,27.445,0.0,691.0,0
23,2015-02-04,Wednesday,1,18,2,22.89,27.5,0.0,688.0,0
24,2015-02-04,Wednesday,1,18,2,22.89,27.5,0.0,689.5,0
25,2015-02-04,Wednesday,1,18,2,22.79,27.445,0.0,689.0,0
26,2015-02-04,Wednesday,1,18,2,22.79,27.5,0.0,685.666666666667,0
27,2015-02-04,Wednesday,1,18,2,22.79,27.5,0.0,687.0,0
28,2015-02-04,Wednesday,1,18,2,22.79,27.5,0.0,688.0,0
29,2015-02-04,Wednesday,1,18,2,22.745,27.5,0.0,670.0,0
30,2015-02-04,Wednesday,1,18,2,22.7,27.463333333333303,0.0,668.666666666667,0
31,2015-02-04,Wednesday,1,18,2,22.7,27.5,0.0,670.0,0
32,2015-02-04,Wednesday,1,18,2,22.7,27.5,0.0,667.0,0
33,2015-02-04,Wednesday,1,18,2,22.6666666666667,27.426666666666698,0.0,664.5,0
34,2015-02-04,Wednesday,1,18,2,22.7,27.6,0.0,670.0,0
35,2015-02-04,Wednesday,1,18,2,22.6,27.426666666666698,0.0,670.333333333333,0
36,2015-02-04,Wednesday,1,18,2,22.6,27.39,0.0,672.0,0
37,2015-02-04,Wednesday,1,18,2,22.6,27.356666666666698,0.0,658.0,0
38,2015-02-04,Wednesday,1,18,2,22.6,27.445,0.0,660.5,0
39,2015-02-04,Wednesday,1,18,2,22.6,27.426666666666698,0.0,658.0,0
40,2015-02-04,Wednesday,1,18,2,22.6,27.445,0.0,655.0,0
41,2015-02-04,Wednesday,1,18,2,22.6,27.445,0.0,654.25,0
42,2015-02-04,Wednesday,1,18,2,22.6,27.39,0.0,648.0,0
43,2015-02-04,Wednesday,1,18,2,22.5,27.323333333333302,0.0,648.666666666667,0
44,2015-02-04,Wednesday,1,18,2,22.5,27.445,0.0,646.0,0
45,2015-02-04,Wednesday,1,18,2,22.5,27.5,0.0,646.0,0
46,2015-02-04,Wednesday,1,18,2,22.5,27.445,0.0,641.5,0
47,2015-02-04,Wednesday,1,18,2,22.39,27.29,0.0,639.0,0
48,2015-02-04,Wednesday,1,18,2,22.5,27.5,0.0,640.0,0
49,2015-02-04,Wednesday,1,18,2,22.39,27.34,0.0,630.5,0
50,2015-02-04,Wednesday,1,18,2,22.39,27.356666666666698,0.0,629.333333333333,0
51,2015-02-04,Wednesday,1,18,2,22.39,27.5,0.0,632.0,0
52,2015-02-04,Wednesday,1,18,2,22.39,27.5,0.0,636.5,0
53,2015-02-04,Wednesday,1,18,2,22.39,27.5,0.0,627.5,0
54,2015-02-04,Wednesday,1,18,2,22.39,27.39,0.0,626.0,0
55,2015-02-04,Wednesday,1,18,2,22.39,27.5,0.0,625.5,0
56,2015-02-04,Wednesday,1,18,2,22.34,27.39,0.0,623.5,0
57,2015-02-04,Wednesday,1,18,2,22.39,27.463333333333303,0.0,624.666666666667,0
58,2015-02-04,Wednesday,1,18,2,22.39,27.39,0.0,622.0,0
59,2015-02-04,Wednesday,1,18,2,22.29,27.39,0.0,621.0,0
60,2015-02-04,Wednesday,1,18,2,22.34,27.39,0.0,626.5,0
61,2015-02-04,Wednesday,1,18,2,22.29,27.39,0.0,622.0,0
62,2015-02-04,Wednesday,1,18,2,22.39,27.39,0.0,620.0,0
63,2015-02-04,Wednesday,1,18,2,22.29,27.39,0.0,621.5,0
64,2015-02-04,Wednesday,1,18,2,22.29,27.356666666666698,0.0,616.333333333333,0
65,2015-02-04,Wednesday,1,18,2,22.29,27.34,0.0,609.0,0
66,2015-02-04,Wednesday,1,18,2,22.29,27.39,0.0,614.0,0
67,2015-02-04,Wednesday,1,18,2,22.29,27.34,0.0,613.5,0
68,2015-02-04,Wednesday,1,18,2,22.29,27.34,0.0,611.0,0
69,2015-02-04,Wednesday,1,19,0,22.29,27.39,0.0,612.0,0
70,2015-02-04,Wednesday,1,19,0,22.29,27.29,0.0,608.0,0
71,2015-02-04,Wednesday,1,19,0,22.29,27.29,0.0,605.5,0
72,2015-02-04,Wednesday,1,19,0,22.2675,27.315,0.0,608.5,0
73,2015-02-04,Wednesday,1,19,0,22.2,27.29,0.0,608.5,0
74,2015-02-04,Wednesday,1,19,0,22.245,27.29,0.0,602.5,0
75,2015-02-04,Wednesday,1,19,0,22.2,27.29,0.0,598.0,0
76,2015-02-04,Wednesday,1,19,0,22.2,27.29,0.0,595.0,0
