id;date;Temperature;Humidity;Light;CO2;HumidityRatio;Occupancy
140;02/02/15 14:19;23.7;26.272;585.2;749.2;0.00476416302416414;1
141;02/02/15 14:19;23.718;26.29;578.4;760.4;0.00477266099212519;1
142;02/02/15 14:21;23.73;26.23;572.666666666667;769.666666666667;0.00476515255246541;1
143;02/02/15 14:22;23.7225;26.125;493.75;774.75;0.00474377335599685;1
144;02/02/15 14:23;23.754;26.2;488.6;779;0.00476659399998615;1
145;02/02/15 14:23;23.76;26.26;568.666666666667;790;0.00477933243163454;1
146;02/02/15 14:25;23.73;26.29;536.333333333333;798;0.00477613633274892;1
147;02/02/15 14:25;23.754;26.29;509;797;0.00478309370839038;1
148;02/02/15 14:26;23.754;26.35;476;803.2;0.00479409399662041;1
149;02/02/15 14:28;23.736;26.39;510;809;0.00479618871038935;1
150;02/02/15 14:29;23.745;26.445;481.5;815.25;0.00480888622067716;1
151;02/02/15 14:30;23.7;26.56;481.8;824;0.0048167933677358;1
152;02/02/15 14:31;23.7;26.6;475.25;832;0.00482410383674874;1
153;02/02/15 14:31;23.7;26.7;469;845.333333333333;0.00484238075533563;1
154;02/02/15 14:32;23.7;26.774;464;852.4;0.00485590636128976;1
155;02/02/15 14:34;23.7;26.89;464;861;0.00487710983719076;1
156;02/02/15 14:35;23.7;26.9725;455;880;0.004892190768364;1
157;02/02/15 14:36;23.6;26.89;454;891;0.00484759441396992;1
158;02/02/15 14:37;23.64;26.976;458;897.6;0.0048750447811301;1
159;02/02/15 14:38;23.65;27.05;464;900.5;0.00489149158929623;1
160;02/02/15 14:38;23.64;27.1;473;908.8;0.00489763024345823;1
161;02/02/15 14:39;23.6;27.16;464;918;0.00489665184522539;1
162;02/02/15 14:41;23.6;27.236;498.4;925.2;0.00491046198855591;1
163;02/02/15 14:42;23.6;27.29;530.2;929.4;0.0049202748285747;1
164;02/02/15 14:43;23.6;27.33;533.6;936.4;0.00492754379701558;1
165;02/02/15 14:44;23.6;27.34;524.25;950;0.0049293610654639;1
