,date,DayName,IsWorkDay,Hour,IsWorkHour,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
0,2015-02-02,Monday,1,14,1,23.7,26.272,1,749.2,0.0047641630241641395,1
1,2015-02-02,Monday,1,14,1,23.718000000000004,26.29,1,760.4,0.00477266099212519,1
2,2015-02-02,Monday,1,14,1,23.73,26.23,1,769.666666666667,0.00476515255246541,1
3,2015-02-02,Monday,1,14,1,23.7225,26.125,1,774.75,0.00474377335599685,1
4,2015-02-02,Monday,1,14,1,23.754,26.2,1,779.0,0.00476659399998615,1
5,2015-02-02,Monday,1,14,1,23.76,26.26,1,790.0,0.00477933243163454,1
6,2015-02-02,Monday,1,14,1,23.73,26.29,1,798.0,0.004776136332748921,1
7,2015-02-02,Monday,1,14,1,23.754,26.29,1,797.0,0.00478309370839038,1
8,2015-02-02,Monday,1,14,1,23.754,26.35,1,803.2,0.0047940939966204105,1
9,2015-02-02,Monday,1,14,1,23.736,26.39,1,809.0,0.00479618871038935,1
10,2015-02-02,Monday,1,14,1,23.745,26.445,1,815.25,0.00480888622067716,1
11,2015-02-02,Monday,1,14,1,23.7,26.56,1,824.0,0.0048167933677358,1
12,2015-02-02,Monday,1,14,1,23.7,26.6,1,832.0,0.0048241038367487395,1
13,2015-02-02,Monday,1,14,1,23.7,26.7,1,845.333333333333,0.004842380755335629,1
14,2015-02-02,Monday,1,14,1,23.7,26.774,1,852.4,0.00485590636128976,1
15,2015-02-02,Monday,1,14,1,23.7,26.89,1,861.0,0.00487710983719076,1
16,2015-02-02,Monday,1,14,1,23.7,26.9725,1,880.0,0.004892190768364,1
17,2015-02-02,Monday,1,14,1,23.6,26.89,1,891.0,0.00484759441396992,1
18,2015-02-02,Monday,1,14,1,23.64,26.976,1,897.6,0.0048750447811301,1
19,2015-02-02,Monday,1,14,1,23.65,27.05,1,900.5,0.004891491589296229,1
20,2015-02-02,Monday,1,14,1,23.64,27.1,1,908.8,0.004897630243458229,1
21,2015-02-02,Monday,1,14,1,23.6,27.16,1,918.0,0.00489665184522539,1
22,2015-02-02,Monday,1,14,1,23.6,27.236,1,925.2,0.00491046198855591,1
23,2015-02-02,Monday,1,14,1,23.6,27.29,1,929.4,0.0049202748285747,1
24,2015-02-02,Monday,1,14,1,23.6,27.33,1,936.4,0.00492754379701558,1
25,2015-02-02,Monday,1,14,1,23.6,27.34,1,950.0,0.0049293610654639,1
26,2015-02-02,Monday,1,14,1,23.625,27.3925,1,961.0,0.00494640574744149,1
27,2015-02-02,Monday,1,14,1,23.6,27.39,1,963.0,0.00493844756573873,1
28,2015-02-02,Monday,1,14,1,23.6,27.412,1,958.6,0.00494244570930318,1
29,2015-02-02,Monday,1,14,1,23.6,27.5,1,965.333333333333,0.00495843879351724,1
30,2015-02-02,Monday,1,14,1,23.6,27.525,1,979.25,0.00496298243218165,1
31,2015-02-02,Monday,1,14,1,23.6,27.6,1,978.428571428571,0.0049766137433226295,1
32,2015-02-02,Monday,1,14,1,23.6,27.6,1,983.0,0.0049766137433226295,1
33,2015-02-02,Monday,1,14,1,23.6,27.54,1,992.6,0.00496570864699156,1
34,2015-02-02,Monday,1,14,1,23.6,27.6,1,997.2,0.0049766137433226295,1
35,2015-02-02,Monday,1,14,1,23.6166666666667,27.6333333333333,1,999.5,0.00498771842139186,1
36,2015-02-02,Monday,1,14,1,23.6666666666667,27.7,1,1001.0,0.00501505086095386,1
37,2015-02-02,Monday,1,14,1,23.6,27.7,1,1009.5,0.00499478974690881,1
38,2015-02-02,Monday,1,14,1,23.6,27.7225,1,1019.0,0.0049988794929492295,1
39,2015-02-02,Monday,1,14,1,23.6,27.79,1,1021.0,0.00501114905119468,1
40,2015-02-02,Monday,1,14,1,23.6,27.856666666666698,1,1024.66666666667,0.00502326760476436,1
41,2015-02-02,Monday,1,15,1,23.6,27.804285714285697,1,1030.42857142857,0.00501374584466786,1
42,2015-02-02,Monday,1,15,1,23.575,27.79,1,1026.25,0.0050035447484533604,1
43,2015-02-02,Monday,1,15,1,23.54,27.81,1,1028.0,0.00499653801060323,1
44,2015-02-02,Monday,1,15,1,23.6,27.978,1,1034.8,0.00504532457442066,1
45,2015-02-02,Monday,1,15,1,23.525,28.0,1,1055.5,0.00502636675819462,1
46,2015-02-02,Monday,1,15,1,23.5,27.978,1,1055.25,0.0050147597241768,1
47,2015-02-02,Monday,1,15,1,23.5,28.0,1,1050.0,0.00501873480786954,1
48,2015-02-02,Monday,1,15,1,23.5,28.0,1,1051.25,0.00501873480786954,1
49,2015-02-02,Monday,1,15,1,23.5,28.0,1,1053.6,0.00501873480786954,1
50,2015-02-02,Monday,1,15,1,23.5,28.0,1,1055.5,0.00501873480786954,1
51,2015-02-02,Monday,1,15,1,23.5,28.025,1,1055.0,0.00502325200960961,1
52,2015-02-02,Monday,1,15,1,23.445,28.125,1,1059.5,0.00502449114747957,1
53,2015-02-02,Monday,1,15,1,23.39,28.18,1,1060.0,0.005017582274385229,1
54,2015-02-02,Monday,1,15,1,23.39,28.2,1,1073.6,0.005021172116350729,1
55,2015-02-02,Monday,1,15,1,23.39,28.2,1,1078.6,0.005021172116350729,1
56,2015-02-02,Monday,1,15,1,23.39,28.2,1,1081.0,0.005021172116350729,1
57,2015-02-02,Monday,1,15,1,23.39,28.2225,1,1082.0,0.00502521073769626,1
58,2015-02-02,Monday,1,15,1,23.39,28.373333333333303,1,1088.83333333333,0.00505228580200481,1
59,2015-02-02,Monday,1,15,1,23.37,28.39,1,1090.6,0.005049129542326371,1
